Entity,Code,Year,"Transport (per capita) (CAIT, 2020)"
Albania,ALB,1990,0.21302495435179547
Albania,ALB,1991,0.1524390243902439
Albania,ALB,1992,0.12322858903265557
Albania,ALB,1993,0.15649452269170577
Albania,ALB,1994,0.19065776930409914
Albania,ALB,1995,0.19274012206874397
Albania,ALB,1996,0.1936108422071636
Albania,ALB,1997,0.16129032258064516
Albania,ALB,1998,0.22500803600128574
Albania,ALB,1999,0.4482869036183157
Albania,ALB,2000,0.47938638542665385
Albania,ALB,2001,0.47923322683706066
Albania,ALB,2002,0.5758157389635317
Albania,ALB,2003,0.6093649775497113
Albania,ALB,2004,0.7407407407407407
Albania,ALB,2005,0.7774538386783285
Albania,ALB,2006,0.6203068886712373
Albania,ALB,2007,0.6921555702043507
Albania,ALB,2008,0.7659007659007658
Albania,ALB,2009,0.7736293306424487
Albania,ALB,2010,0.746268656716418
Albania,ALB,2011,0.785250938886992
Albania,ALB,2012,0.7892930679478379
Albania,ALB,2013,0.8608815426997245
Albania,ALB,2014,0.8632596685082873
Albania,ALB,2015,0.8301625735039778
Albania,ALB,2016,0.7969507969507968
Algeria,DZA,1990,0.6133778485189643
Algeria,DZA,1991,0.6401515151515151
Algeria,DZA,1992,0.6215776232055646
Algeria,DZA,1993,0.6151396728904328
Algeria,DZA,1994,0.5493726518749557
Algeria,DZA,1995,0.5250712845121358
Algeria,DZA,1996,0.5125401489783367
Algeria,DZA,1997,0.5043203442826883
Algeria,DZA,1998,0.5133640247739542
Algeria,DZA,1999,0.5388106978414916
Algeria,DZA,2000,0.5412022421235746
Algeria,DZA,2001,0.5405061681292127
Algeria,DZA,2002,0.6090095746350651
Algeria,DZA,2003,0.6756756756756757
Algeria,DZA,2004,0.6729475100942126
Algeria,DZA,2005,0.7300150829562594
Algeria,DZA,2006,0.7609761897684374
Algeria,DZA,2007,0.8077969971024673
Algeria,DZA,2008,0.840747459042354
Algeria,DZA,2009,0.8631912605422539
Algeria,DZA,2010,0.8811184923701253
Algeria,DZA,2011,0.9328714437685826
Algeria,DZA,2012,1.0271774020971538
Algeria,DZA,2013,1.0540115364446776
Algeria,DZA,2014,1.120131538382489
Algeria,DZA,2015,1.1704591220298026
Algeria,DZA,2016,1.1121797242977978
Angola,AGO,1990,0.08440243079000674
Angola,AGO,1991,0.10613111274389747
Angola,AGO,1992,0.09480919649205972
Angola,AGO,1993,0.09177820267686425
Angola,AGO,1994,0.1110781990521327
Angola,AGO,1995,0.07888131946934386
Angola,AGO,1996,0.06943962224845497
