"Table 211.60. Estimated average annual salary of teachers in public elementary and secondary schools, by state: Selected years, 1969-70 through
              2018-19         ",,,,,,,,,,,,,,,
State,Current dollars  ,,,,,,,Constant 2018-19 dollars\1\,,,,,,,
,1969-70,1979-80,1989-90,1999-2000,2009-10,2017-18,2018-19,1969-70,1979-80,1989-90,1999-2000,2009-10,2017-18,2018-19,"Percent change, 1999-2000 to
 2018-19"
1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16
   United States ,"$8,626","$15,970","$31,367","$41,807","$55,370","$60,477","$61,730","$57,834","$52,100","$62,566","$62,545","$64,703","$61,730","$61,730",-1.3
Alabama ,"6,818","13,060","24,828","36,689","47,571","50,568","50,810","45,712","42,607","49,523","54,888","55,590","51,616","50,810",-7.4
Alaska ,"10,560","27,210","43,153","46,462","59,672","69,682","70,277","70,801","88,769","86,074","69,509","69,730","71,126","70,277",1.1
Arizona ,"8,711","15,054","29,402","36,902","46,952","48,723","49,892","58,404","49,112","58,646","55,207","54,866","49,733","49,892",-9.6
Arkansas ,"6,307","12,299","22,352","33,386","46,700","50,544","51,019","42,286","40,124","44,584","49,947","54,572","51,591","51,019",2.1
California ,"10,315","18,020","37,998","47,680","68,203","80,680","82,282","69,158","58,788","75,792","71,331","79,699","82,352","82,282",15.4
Colorado ,"7,761","16,205","30,758","38,163","49,202","52,701","53,301","52,035","52,867","61,351","57,093","57,496","53,793","53,301",-6.6
Connecticut ,"9,262","16,229","40,461","51,780","64,350","74,517","76,465","62,098","52,945","80,705","77,465","75,197","76,061","76,465",-1.3
Delaware ,"9,015","16,148","33,377","44,435","57,080","61,795","62,308","60,442","52,681","66,575","66,477","66,701","63,076","62,308",-6.3
District of ,,,,,,,,,,,,,,,
   Columbia ,"10,285","22,190","38,402","47,076","64,548","76,486","78,477","68,957","72,392","76,598","70,428","75,428","78,071","78,477",11.4
Florida ,"8,412","14,149","28,803","36,722","46,708","48,168","48,395","56,399","46,159","57,451","54,938","54,581","49,166","48,395",-11.9
Georgia ,"7,276","13,853","28,006","41,023","53,112","56,329","57,137","48,783","45,194","55,862","61,372","62,065","57,496","57,137",-6.9
Hawaii ,"9,453","19,920","32,047","40,578","55,063","57,866","59,757","63,379","64,987","63,922","60,706","64,344","59,065","59,757",-1.6
Idaho ,"6,890","13,611","23,861","35,547","46,283","49,225","50,757","46,195","44,404","47,594","53,180","54,084","50,245","50,757",-4.6
Illinois ,"9,569","17,601","32,794","46,486","62,077","65,721","66,600","64,157","57,421","65,412","69,545","72,541","67,083","66,600",-4.2
Indiana ,"8,833","15,599","30,902","41,850","49,986","50,614","50,937","59,222","50,890","61,638","62,609","58,412","51,663","50,937",-18.6
