Name,2018
The United States,"65,127"
Alabama,"51,475"
Alaska,"70,853"
Arizona,"64,203"
Arkansas,"51,316"
California,"72,662"
Colorado,"75,285"
Connecticut,"75,057"
Delaware,"67,016"
District of Columbia,"88,393"
Florida,"56,329"
Georgia,"57,542"
Hawaii,"82,578"
Idaho,"60,538"
Illinois,"72,307"
Indiana,"61,738"
Iowa,"70,836"
Kansas,"65,909"
Kentucky,"56,237"
Louisiana,"51,514"
Maine,"60,471"
Maryland,"88,881"
Massachusetts,"89,007"
Michigan,"62,312"
Minnesota,"74,031"
Mississippi,"44,100"
Missouri,"63,629"
Montana,"59,457"
Nebraska,"69,658"
Nevada,"63,771"
New Hampshire,"83,854"
New Jersey,"76,463"
New Mexico,"49,771"
New York,"69,348"
North Carolina,"55,014"
North Dakota,"68,555"
Ohio,"63,533"
Oklahoma,"56,112"
Oregon,"71,297"
Pennsylvania,"66,513"
Rhode Island,"64,186"
South Carolina,"59,215"
South Dakota,"61,296"
Tennessee,"57,788"
Texas,"61,628"
Utah,"79,443"
Vermont,"72,226"
Virginia,"79,529"
Washington,"82,184"
West Virginia,"52,132"
Wisconsin,"64,560"
Wyoming,"64,467"
