,Entity,Year,Food Emissions
0,Afghanistan,1990,10442724.8
1,Afghanistan,1991,10665824.8
2,Afghanistan,1992,10805724.8
3,Afghanistan,1993,11003824.8
4,Afghanistan,1994,11286224.8
5,Afghanistan,1995,11794724.8
6,Afghanistan,1996,13112285.1
7,Afghanistan,1997,14204609.7
8,Afghanistan,1998,15024799.8
9,Afghanistan,1999,16080282.2
10,Afghanistan,2000,14245153.5
11,Afghanistan,2001,12518300.0
12,Afghanistan,2002,15119500.0
13,Afghanistan,2003,15651500.0
14,Afghanistan,2004,15778200.0
15,Afghanistan,2005,15705700.0
16,Afghanistan,2006,15849099.3
17,Afghanistan,2007,16263800.0
18,Afghanistan,2008,17731200.0
19,Afghanistan,2009,18457199.3
20,Afghanistan,2010,20652300.0
21,Afghanistan,2011,20976200.0
22,Afghanistan,2012,20754400.0
23,Afghanistan,2013,20948500.0
24,Afghanistan,2014,21377300.0
26,Albania,1990,4397860.8
27,Albania,1991,4011691.0
28,Albania,1992,3879667.0
29,Albania,1993,4091569.1
30,Albania,1994,4945357.1
31,Albania,1995,4861321.1
32,Albania,1996,4569702.9
33,Albania,1997,4431656.699999999
34,Albania,1998,4344061.6
35,Albania,1999,5023923.6
36,Albania,2000,5101107.800000001
37,Albania,2001,4575924.399999999
38,Albania,2002,4684049.6
39,Albania,2003,4722376.1
40,Albania,2004,4518229.5
41,Albania,2005,4334797.199999999
42,Albania,2006,4936721.699999999
43,Albania,2007,5025279.600000001
44,Albania,2008,4437475.0
45,Albania,2009,4323953.1
46,Albania,2010,4581993.8
47,Albania,2011,4699482.1
48,Albania,2012,4543709.1
49,Albania,2013,4380111.1
50,Albania,2014,4789779.0
52,Algeria,1990,30503326.5
53,Algeria,1991,30806791.8
54,Algeria,1992,37374652.4
55,Algeria,1993,37226808.400000006
56,Algeria,1994,35959859.6
57,Algeria,1995,36251006.0
58,Algeria,1996,35990235.2
59,Algeria,1997,33996829.2
60,Algeria,1998,33360230.9
61,Algeria,1999,33905562.5
62,Algeria,2000,34945893.400000006
63,Algeria,2001,33850218.8
64,Algeria,2002,33894737.4
65,Algeria,2003,36174946.6
66,Algeria,2004,36159560.1
67,Algeria,2005,37180520.4
68,Algeria,2006,36812107.3
69,Algeria,2007,37407345.6
70,Algeria,2008,38102783.9
71,Algeria,2009,41175322.7
72,Algeria,2010,42322323.9
73,Algeria,2011,44589713.6
74,Algeria,2012,47286755.0
75,Algeria,2013,48164237.4
76,Algeria,2014,52390725.2
78,American Samoa,1990,25049.3
79,American Samoa,1991,25319.2
80,American Samoa,1992,25586.8
81,American Samoa,1993,25850.0
82,American Samoa,1994,26104.4
83,American Samoa,1995,26363.5
84,American Samoa,1996,26595.5
85,American Samoa,1997,26825.9
86,American Samoa,1998,27061.6
87,American Samoa,1999,27280.0
88,American Samoa,2000,27483.0
89,American Samoa,2001,27586.6
90,American Samoa,2002,27665.9
91,American Samoa,2003,27745.2
92,American Samoa,2004,27727.9
93,American Samoa,2005,27693.1
94,American Samoa,2006,27568.4
95,American Samoa,2007,27521.6
96,American Samoa,2008,27355.3
97,American Samoa,2009,27178.4
98,American Samoa,2010,27088.9
99,American Samoa,2011,27042.9
100,American Samoa,2012,26972.4
101,American Samoa,2013,26941.4
102,American Samoa,2014,26969.5
104,Angola,1990,116005562.9
105,Angola,1991,116681060.3
106,Angola,1992,117052156.4
107,Angola,1993,116335851.3
108,Angola,1994,116747844.9
109,Angola,1995,117349308.1
110,Angola,1996,126074569.2
111,Angola,1997,121100796.0
112,Angola,1998,133450331.0
113,Angola,1999,125710933.8
114,Angola,2000,124145270.2
115,Angola,2001,102707192.6
116,Angola,2002,119226099.6
117,Angola,2003,125496986.7
118,Angola,2004,139574403.8
119,Angola,2005,138652962.8
120,Angola,2006,109970725.8
121,Angola,2007,131857900.3
122,Angola,2008,110218444.8
123,Angola,2009,113714827.0
124,Angola,2010,116409664.1
125,Angola,2011,148244155.9
126,Angola,2012,115828598.3
127,Angola,2013,129858204.8
128,Angola,2014,112490513.0
130,Anguilla,1990,2726.61
131,Anguilla,1991,3009.27
132,Anguilla,1992,3130.17
133,Anguilla,1993,3406.83
134,Anguilla,1994,3932.46
135,Anguilla,1995,4488.22
136,Anguilla,1996,4493.26
137,Anguilla,1997,4194.69
138,Anguilla,1998,3998.49
139,Anguilla,1999,3960.59
140,Anguilla,2000,4461.18
141,Anguilla,2001,4626.09
142,Anguilla,2002,4022.7
143,Anguilla,2003,4481.21
144,Anguilla,2004,4427.81
145,Anguilla,2005,4590.66
146,Anguilla,2006,4573.13
147,Anguilla,2007,4554.33
148,Anguilla,2008,5036.12
149,Anguilla,2009,5795.51
150,Anguilla,2010,6373.06
151,Anguilla,2011,6660.55
152,Anguilla,2012,6705.42
153,Anguilla,2013,6993.240000000001
154,Anguilla,2014,7027.91
156,Antigua and Barbuda,1990,99089.2
157,Antigua and Barbuda,1991,101735.5
158,Antigua and Barbuda,1992,103405.8
159,Antigua and Barbuda,1993,103126.2
160,Antigua and Barbuda,1994,107906.1
161,Antigua and Barbuda,1995,109158.3
162,Antigua and Barbuda,1996,109047.1
163,Antigua and Barbuda,1997,110284.2
164,Antigua and Barbuda,1998,117251.4
165,Antigua and Barbuda,1999,128732.2
166,Antigua and Barbuda,2000,127046.5
167,Antigua and Barbuda,2001,132351.1
168,Antigua and Barbuda,2002,131051.0
169,Antigua and Barbuda,2003,136716.5
170,Antigua and Barbuda,2004,140090.6
171,Antigua and Barbuda,2005,141192.3
172,Antigua and Barbuda,2006,124272.0
173,Antigua and Barbuda,2007,126478.0
174,Antigua and Barbuda,2008,127254.0
175,Antigua and Barbuda,2009,131300.0
176,Antigua and Barbuda,2010,110690.0
177,Antigua and Barbuda,2011,110763.0
178,Antigua and Barbuda,2012,145604.0
179,Antigua and Barbuda,2013,139385.0
180,Antigua and Barbuda,2014,135647.0
182,Argentina,1990,307817364.8
183,Argentina,1991,306188041.4
184,Argentina,1992,309697635.90000004
185,Argentina,1993,310102352.0
186,Argentina,1994,314697400.5
187,Argentina,1995,315613699.9
188,Argentina,1996,309648989.2
189,Argentina,1997,306252593.3
190,Argentina,1998,305839288.2
191,Argentina,1999,310691976.8
192,Argentina,2000,307564015.0
193,Argentina,2001,324390386.1
194,Argentina,2002,339649266.6
195,Argentina,2003,357255665.29999995
196,Argentina,2004,374901646.2
197,Argentina,2005,367495973.2
198,Argentina,2006,365642481.1
199,Argentina,2007,357970338.2
200,Argentina,2008,365245207.9
201,Argentina,2009,354909988.5
202,Argentina,2010,332180460.8
203,Argentina,2011,324314915.7
