year, mo,    data-type, region, extent,   area,year, mo,    data-type, region, extent,   area,year, mo,    data-type, region, extent,   area,year, mo,    data-type, region, extent,   area,year, mo,    data-type, region, extent,   area,year, mo,    data-type, region, extent,   area,year, mo,    data-type, region, extent,   area,year, mo,    data-type, region, extent,   area,year, mo,    data-type, region, extent,   area,year, mo,    data-type, region, extent,   area,year, mo,    data-type, region, extent,   area,year, mo,    data-type, region, extent,   area
1979,1,      Goddard,      S,5.4,3.47,1979.0,2.0,      Goddard,      S,3.14,2.11,1979.0,3.0,      Goddard,      S,4.0,2.66,1979.0,4.0,      Goddard,      S,7.49,5.45,1979.0,5.0,      Goddard,      S,10.83,8.3,1979.0,6.0,      Goddard,      S,14.19,11.22,1979.0,7.0,      Goddard,      S,16.52,13.26,1979.0,8.0,      Goddard,      S,17.7,13.79,1979.0,9.0,      Goddard,      S,18.2,14.29,1979.0,10.0,      Goddard,      S,17.82,13.72,1978,11,      Goddard,      S,15.9,11.69,1978,12,      Goddard,      S,10.4,6.97
1980,1,      Goddard,      S,4.56,3.08,1980.0,2.0,      Goddard,      S,2.82,1.85,1980.0,3.0,      Goddard,      S,3.29,2.11,1980.0,4.0,      Goddard,      S,5.4,3.68,1980.0,5.0,      Goddard,      S,8.86,6.44,1980.0,6.0,      Goddard,      S,12.49,9.58,1980.0,7.0,      Goddard,      S,15.56,12.18,1980.0,8.0,      Goddard,      S,17.81,13.96,1980.0,9.0,      Goddard,      S,18.82,14.87,1980.0,10.0,      Goddard,      S,18.57,14.57,1979,11,      Goddard,      S,15.34,11.32,1979,12,      Goddard,      S,9.24,6.24
1981,1,      Goddard,      S,4.41,2.84,1981.0,2.0,      Goddard,      S,2.87,1.74,1981.0,3.0,      Goddard,      S,3.39,2.16,1981.0,4.0,      Goddard,      S,5.84,4.07,1981.0,5.0,      Goddard,      S,9.35,7.08,1981.0,6.0,      Goddard,      S,13.11,10.16,1981.0,7.0,      Goddard,      S,16.04,12.78,1981.0,8.0,      Goddard,      S,17.74,14.16,1981.0,9.0,      Goddard,      S,18.6,14.78,1981.0,10.0,      Goddard,      S,18.29,14.43,1980,11,      Goddard,      S,16.13,11.84,1980,12,      Goddard,      S,10.16,6.56
1982,1,      Goddard,      S,5.26,3.25,1982.0,2.0,      Goddard,      S,3.13,1.86,1982.0,3.0,      Goddard,      S,4.29,2.84,1982.0,4.0,      Goddard,      S,7.72,5.79,1982.0,5.0,      Goddard,      S,10.76,8.27,1982.0,6.0,      Goddard,      S,13.42,10.5,1982.0,7.0,      Goddard,      S,15.87,12.47,1982.0,8.0,      Goddard,      S,17.79,14.28,1982.0,9.0,      Goddard,      S,18.35,14.53,1982.0,10.0,      Goddard,      S,17.79,13.74,1981,11,      Goddard,      S,16.11,12.07,1981,12,      Goddard,      S,10.89,7.02
1983,1,      Goddard,      S,4.77,3.21,1983.0,2.0,      Goddard,      S,3.07,1.91,1983.0,3.0,      Goddard,      S,4.02,2.62,1983.0,4.0,      Goddard,      S,6.47,4.7,1983.0,5.0,      Goddard,      S,9.53,7.16,1983.0,6.0,      Goddard,      S,12.64,9.77,1983.0,7.0,      Goddard,      S,15.47,12.37,1983.0,8.0,      Goddard,      S,17.25,13.84,1983.0,9.0,      Goddard,      S,18.59,14.68,1983.0,10.0,      Goddard,      S,17.92,13.92,1982,11,      Goddard,      S,15.54,11.27,1982,12,      Goddard,      S,9.22,6.31
1984,1,      Goddard,      S,4.78,2.93,1984.0,2.0,      Goddard,      S,2.68,1.75,1984.0,3.0,      Goddard,      S,3.61,2.34,1984.0,4.0,      Goddard,      S,6.42,4.53,1984.0,5.0,      Goddard,      S,9.75,7.41,1984.0,6.0,      Goddard,      S,13.23,10.64,1984.0,7.0,      Goddard,      S,16.4,13.38,1984.0,8.0,      Goddard,      S,17.93,14.23,1984.0,9.0,      Goddard,      S,18.17,14.27,1984.0,10.0,      Goddard,      S,17.57,13.73,1983,11,      Goddard,      S,16.01,11.57,1983,12,      Goddard,      S,10.39,6.71
1985,1,      Goddard,      S,4.46,2.87,1985.0,2.0,      Goddard,      S,2.84,1.83,1985.0,3.0,      Goddard,      S,3.72,2.54,1985.0,4.0,      Goddard,      S,6.49,4.74,1985.0,5.0,      Goddard,      S,10.15,7.84,1985.0,6.0,      Goddard,      S,13.43,10.51,1985.0,7.0,      Goddard,      S,15.72,12.48,1985.0,8.0,      Goddard,      S,17.63,14.24,1985.0,9.0,      Goddard,      S,18.7,14.72,1985.0,10.0,      Goddard,      S,18.2,14.37,1984,11,      Goddard,      S,16.13,12.06,1984,12,      Goddard,      S,10.47,6.96
1986,1,      Goddard,      S,5.42,3.43,1986.0,2.0,      Goddard,      S,3.19,2.0,1986.0,3.0,      Goddard,      S,3.7,2.38,1986.0,4.0,      Goddard,      S,6.39,4.56,1986.0,5.0,      Goddard,      S,9.3,7.04,1986.0,6.0,      Goddard,      S,12.69,9.72,1986.0,7.0,      Goddard,      S,15.32,12.09,1986.0,8.0,      Goddard,      S,17.0,13.46,1986.0,9.0,      Goddard,      S,17.68,13.88,1986.0,10.0,      Goddard,      S,17.18,13.32,1985,11,      Goddard,      S,16.14,12.34,1985,12,      Goddard,      S,11.35,7.46
1987,1,      Goddard,      S,5.13,3.31,1987.0,2.0,      Goddard,      S,3.25,2.0,1987.0,3.0,      Goddard,      S,4.11,2.75,1987.0,4.0,      Goddard,      S,6.8,5.04,1987.0,5.0,      Goddard,      S,9.69,7.53,1987.0,6.0,      Goddard,      S,12.68,9.91,1987.0,7.0,      Goddard,      S,15.75,12.5,1987.0,8.0,      Goddard,      S,17.6,14.02,1987.0,9.0,      Goddard,      S,18.25,14.27,1987.0,10.0,      Goddard,      S,17.67,13.71,1986,11,      Goddard,      S,15.01,10.87,1986,12,      Goddard,      S,9.65,6.49
1988,1,        -9999,      S,-9999.0,-9999.0,1988.0,2.0,      Goddard,      S,2.89,1.9,1988.0,3.0,      Goddard,      S,3.97,2.59,1988.0,4.0,      Goddard,      S,6.29,4.44,1988.0,5.0,      Goddard,      S,9.6,7.23,1988.0,6.0,      Goddard,      S,13.09,10.28,1988.0,7.0,      Goddard,      S,15.75,12.62,1988.0,8.0,      Goddard,      S,17.56,13.98,1988.0,9.0,      Goddard,      S,18.31,14.2,1988.0,10.0,      Goddard,      S,18.36,14.41,1987,11,      Goddard,      S,15.58,11.23,1987,12,        -9999,      S,-9999.0,-9999.0
