Entity,Code,Year,Coal (TWh; direct energy),Solar (TWh; direct energy),Oil (TWh; direct energy),Gas (TWh; direct energy),Traditional biomass (TWh; direct energy),Other renewables (TWh; direct energy),Hydropower (TWh; direct energy),Nuclear (TWh; direct energy),Wind (TWh; direct energy),Biofuels (TWh; direct energy)
World,OWID_WRL,1800,97,0,0,0,5556,0,0,0,0,0
World,OWID_WRL,1810,128,0,0,0,5833,0,0,0,0,0
World,OWID_WRL,1820,153,0,0,0,6111,0,0,0,0,0
World,OWID_WRL,1830,264,0,0,0,6389,0,0,0,0,0
World,OWID_WRL,1840,356,0,0,0,6944,0,0,0,0,0
World,OWID_WRL,1850,569,0,0,0,7222,0,0,0,0,0
World,OWID_WRL,1860,1061,0,0,0,6944,0,0,0,0,0
World,OWID_WRL,1870,1642,0,6,0,6944,0,0,0,0,0
World,OWID_WRL,1880,2542,0,33,0,6944,0,0,0,0,0
World,OWID_WRL,1890,3856,0,89,33,6667,0,14,0,0,0
World,OWID_WRL,1900,5728,0,181,64,6111,0,17,0,0,0
World,OWID_WRL,1910,8656,0,397,142,6389,0,33,0,0,0
World,OWID_WRL,1920,9833,0,889,233,6944,0,64,0,0,0
World,OWID_WRL,1930,10125,0,1756,603,7222,0,131,0,0,0
World,OWID_WRL,1940,11586,0,2653,875,7222,0,192,0,0,0
World,OWID_WRL,1950,12603,0,5444,2092,7500,0,333,0,0,0
World,OWID_WRL,1960,15442,0,11097,4472,8889,0,689,0,0,0
World,OWID_WRL,1965,16140,0,18109,6303,9162,18,923,26,0,0
World,OWID_WRL,1966,16324,0,19496,6869,9218,20,984,34,0,0
World,OWID_WRL,1967,16061,0,20891,7375,9274,20,1006,41,0,0
World,OWID_WRL,1968,16301,0,22675,8044,9331,22,1059,52,0,0
World,OWID_WRL,1969,16799,0,24577,8833,9387,23,1122,62,0,0
World,OWID_WRL,1970,17059,0,26708,9614,9444,26,1175,79,0,0
World,OWID_WRL,1971,16966,0,28205,10292,9499,28,1227,110,0,0
World,OWID_WRL,1972,17154,0,30378,10861,9553,30,1285,152,0,0
World,OWID_WRL,1973,17668,0,32746,11378,9608,32,1303,204,0,0
World,OWID_WRL,1974,17682,0,32272,11656,9663,34,1431,267,0,0
World,OWID_WRL,1975,18025,0,31948,11661,9718,34,1449,370,0,0
World,OWID_WRL,1976,18688,0,34030,12356,9774,38,1443,433,0,0
World,OWID_WRL,1977,19241,0,35215,12761,9830,41,1492,539,0,0
World,OWID_WRL,1978,19458,0,36426,13294,9886,43,1614,626,0,0
World,OWID_WRL,1979,20364,0,37024,14119,9943,46,1695,651,0,0
World,OWID_WRL,1980,20858,0,35577,14239,10000,49,1732,712,0,0
World,OWID_WRL,1981,21150,0,34296,14394,10106,53,1769,841,0,0
World,OWID_WRL,1982,21384,0,33198,14469,10213,61,1801,912,0,0
World,OWID_WRL,1983,22045,0,32969,14703,10321,68,1878,1034,0,0
World,OWID_WRL,1984,23000,0,33739,15903,10430,76,1941,1255,0,0
World,OWID_WRL,1985,23986,0,33789,16261,10541,78,1980,1489,0,0
World,OWID_WRL,1986,24256,0,34803,16419,10653,86,2007,1595,0,0
World,OWID_WRL,1987,25210,0,35499,17281,10765,92,2034,1735,0,0
World,OWID_WRL,1988,25965,0,36703,18089,10879,94,2099,1891,0,0
World,OWID_WRL,1989,26213,0,37300,18869,10995,104,2088,1945,3,0
World,OWID_WRL,1990,25895,0,37691,19483,11111,117,2159,2000,4,91
World,OWID_WRL,1991,25643,1,37691,19975,11243,122,2209,2096,4,102
World,OWID_WRL,1992,25550,0,38344,20067,11376,131,2209,2112,5,98
World,OWID_WRL,1993,25675,1,38099,20269,11511,135,2341,2185,6,100
World,OWID_WRL,1994,25774,1,38935,20394,11647,140,2357,2226,7,111
World,OWID_WRL,1995,25954,1,39445,21108,11785,146,2486,2322,8,115
World,OWID_WRL,1996,26572,1,40380,22164,11925,151,2520,2407,9,115
World,OWID_WRL,1997,26527,1,41413,22033,12066,161,2566,2390,12,132
World,OWID_WRL,1998,26360,1,41624,22439,12209,169,2587,2431,16,126
World,OWID_WRL,1999,26522,1,42371,23075,12414,177,2606,2524,21,122
World,OWID_WRL,2000,27417,1,42897,24000,12500,186,2652,2581,31,116
World,OWID_WRL,2001,27853,1,43278,24331,12500,192,2584,2654,38,127
World,OWID_WRL,2002,28945,2,43639,25053,12470,206,2632,2696,52,149
World,OWID_WRL,2003,31497,2,44610,25753,12329,218,2628,2642,63,185
World,OWID_WRL,2004,33664,3,46256,26736,12160,235,2821,2762,85,209
World,OWID_WRL,2005,36171,4,46824,27464,12076,255,2916,2769,104,246
World,OWID_WRL,2006,38071,6,47367,28175,11993,272,3028,2803,133,313
World,OWID_WRL,2007,40224,8,47958,29325,11911,295,3079,2746,171,424
World,OWID_WRL,2008,40770,13,47566,30025,11829,316,3257,2738,221,574
World,OWID_WRL,2009,40149,21,46654,29411,11747,340,3252,2699,276,636
World,OWID_WRL,2010,41997,34,48087,31606,11667,380,3436,2769,347,734
World,OWID_WRL,2011,44018,65,48550,32372,11553,399,3501,2653,441,775
World,OWID_WRL,2012,44185,101,49157,33219,11441,431,3650,2471,531,789
World,OWID_WRL,2013,44993,139,49689,33767,11330,464,3814,2493,636,857
World,OWID_WRL,2014,44954,198,50014,33994,11220,501,3894,2541,706,933
World,OWID_WRL,2015,43844,257,50892,34781,11111,538,3885,2576,832,937
World,OWID_WRL,2016,43196,328,51920,35589,11111,548,4013,2615,964,970
World,OWID_WRL,2017,43360,447,52568,36586,11111,583,4066,2639,1141,1012
World,OWID_WRL,2018,44109,583,53181,38517,11111,615,4171,2700,1270,1109
World,OWID_WRL,2019,43849,724,53620,39292,11111,652,4222,2796,1430,1143
