,Entity,Year,Deaths %
0,Afghanistan,1990,21.32844596451756
1,Afghanistan,1991,21.01177026364608
2,Afghanistan,1992,21.19281019672432
3,Afghanistan,1993,21.36716938747399
4,Afghanistan,1994,21.09481091340307
5,Afghanistan,1995,21.27591591329159
6,Afghanistan,1996,21.47493203218957
7,Afghanistan,1997,21.37542823263376
8,Afghanistan,1998,20.63807572149898
9,Afghanistan,1999,21.55497368198208
10,Afghanistan,2000,21.49746283035899
11,Afghanistan,2001,21.42048576480184
12,Afghanistan,2002,21.26885115152708
13,Afghanistan,2003,21.66512206921027
14,Afghanistan,2004,21.64842946939852
15,Afghanistan,2005,21.38672711927325
16,Afghanistan,2006,21.03862285768128
17,Afghanistan,2007,20.7148149726242
18,Afghanistan,2008,20.4908225427027
19,Afghanistan,2009,20.26510342906108
20,Afghanistan,2010,19.98843697691666
21,Afghanistan,2011,19.77524279648821
22,Afghanistan,2012,19.50155953398491
23,Afghanistan,2013,19.308681955120345
24,Afghanistan,2014,18.80734853642892
30,Africa,1990,13.86772991705196
31,Africa,1991,13.75552447563294
32,Africa,1992,13.64959291817684
33,Africa,1993,13.50026696416155
34,Africa,1994,12.72654463573106
35,Africa,1995,13.144523289308472
36,Africa,1996,12.94730523910124
37,Africa,1997,12.80813620815619
38,Africa,1998,12.69398319169921
39,Africa,1999,12.56433668445402
40,Africa,2000,12.46246970102639
41,Africa,2001,12.41299508566676
42,Africa,2002,12.35445389303362
43,Africa,2003,12.27298591849023
44,Africa,2004,12.24898649363921
45,Africa,2005,12.29001748507344
46,Africa,2006,12.41260466468016
47,Africa,2007,12.49676586574146
48,Africa,2008,12.614993089110598
49,Africa,2009,12.714833650491238
50,Africa,2010,12.80604724641005
51,Africa,2011,12.89345840580258
52,Africa,2012,13.02943127511808
53,Africa,2013,13.07795006464288
54,Africa,2014,13.07002152223996
60,African Region,1990,13.6470125280168
61,African Region,1991,13.514797614062148
62,African Region,1992,13.38609955148852
63,African Region,1993,13.19177755645442
64,African Region,1994,12.29798065007134
65,African Region,1995,12.7826103446972
66,African Region,1996,12.56967907623995
67,African Region,1997,12.41529805233134
68,African Region,1998,12.29382158942532
69,African Region,1999,12.14979042174548
70,African Region,2000,12.06093149324762
71,African Region,2001,11.99288288471982
72,African Region,2002,11.928427760726873
73,African Region,2003,11.8318035024955
74,African Region,2004,11.81802873451633
75,African Region,2005,11.85531882897363
76,African Region,2006,11.98600190464921
77,African Region,2007,12.06909565982959
78,African Region,2008,12.18426714359274
79,African Region,2009,12.28467557173796
80,African Region,2010,12.39101237569707
81,African Region,2011,12.51979624255024
82,African Region,2012,12.6616429516337
83,African Region,2013,12.75345900733888
84,African Region,2014,12.75275138404322
90,African Union,1990,13.86772991705196
91,African Union,1991,13.75552447563294
92,African Union,1992,13.64959291817684
93,African Union,1993,13.50026696416155
94,African Union,1994,12.72654463573106
95,African Union,1995,13.144523289308472
96,African Union,1996,12.94730523910124
97,African Union,1997,12.80813620815619
98,African Union,1998,12.69398319169921
99,African Union,1999,12.56433668445402
100,African Union,2000,12.46246970102639
101,African Union,2001,12.41299508566676
102,African Union,2002,12.35445389303362
103,African Union,2003,12.27298591849023
104,African Union,2004,12.24898649363921
105,African Union,2005,12.29001748507344
106,African Union,2006,12.41260466468016
107,African Union,2007,12.49676586574146
108,African Union,2008,12.614993089110598
109,African Union,2009,12.714833650491238
110,African Union,2010,12.80604724641005
111,African Union,2011,12.89345840580258
112,African Union,2012,13.02943127511808
113,African Union,2013,13.07795006464288
114,African Union,2014,13.07002152223996
120,Albania,1990,17.65407039444569
121,Albania,1991,17.61363627068305
122,Albania,1992,17.42990338570997
123,Albania,1993,17.17148080539373
124,Albania,1994,16.87849719314402
125,Albania,1995,16.789055307843732
126,Albania,1996,16.58845124390368
127,Albania,1997,15.08136050029213
128,Albania,1998,15.96579619544565
129,Albania,1999,15.627983920194598
130,Albania,2000,15.26503546491271
131,Albania,2001,14.87054554122487
132,Albania,2002,14.62721504292272
