,Entity,Year,Deaths %,CO2 Emissions,CO2 Emissions Per Cap,Food Emissions,Total GHG,Consumption of Ozone,Shared CO2 Emissions,Transport
0,Albania,1991,17.61363627068305,4228256,1.2889,4011691.0,9030000.0,0.0,0.02,500000.0
1,Albania,1995,16.789055307843732,2066496,0.6638,4861321.1,7480000.0,43.4,0.01,600000.0
2,Albania,1996,16.58845124390368,1993216,0.6432,4569702.9,7280000.0,43.2,0.01,600000.0
3,Albania,1997,15.08136050029213,1531552,0.4941,4431656.699999999,6510000.0,45.2,0.01,500000.0
4,Albania,1998,15.96579619544565,1744064,0.5607,4344061.6,6810000.0,49.6,0.01,700000.0
5,Albania,1999,15.627983920194598,2975168,0.9528,5023923.6,7960000.0,56.2,0.01,1400000.0
6,Albania,2000,15.26503546491271,3004480,0.9601,5101107.800000001,8400000.0,65.1,0.01,1500000.0
7,Albania,2001,14.87054554122487,3220656,1.0291,4575924.399999999,9030000.0,70.2,0.01,1500000.0
8,Albania,2002,14.62721504292272,3748272,1.199,4684049.6,9720000.0,50.5,0.01,1800000.0
9,Albania,2003,14.38826274910754,4231920,1.3572,4722376.1,10090000.0,38.0,0.02,1900000.0
10,Albania,2004,13.99610828703761,4103680,1.3217,4518229.5,10150000.0,36.6,0.01,2300000.0
11,Albania,2005,13.60177777203099,4198944,1.3603,4334797.199999999,9920000.0,14.3,0.01,2400000.0
12,Albania,2006,13.10393621877028,3843536,1.2548,4936721.699999999,8750000.0,15.2,0.01,1900000.0
13,Albania,2007,12.62515920983168,3828880,1.262,5025279.600000001,9060000.0,6.6,0.01,2100000.0
14,Albania,2008,12.27001805052704,4272224,1.4228,4437475.0,8530000.0,4.1,0.01,2300000.0
15,Albania,2009,11.93326026581502,4253904,1.4308,4323953.1,8640000.0,5.4,0.01,2300000.0
16,Albania,2010,11.55165282063434,4448096,1.5088,4581993.8,8850000.0,6.5,0.01,2200000.0
17,Albania,2011,11.27640652128524,5030672,1.7178,4699482.1,9290000.0,6.49,0.01,2300000.0
18,Albania,2012,10.98630651599224,4667936,1.6018,4543709.1,8950000.0,6.59,0.01,2300000.0
19,Albania,2013,10.74092034899868,4928080,1.6971,4380111.1,9010000.0,5.67,0.01,2500000.0
20,Algeria,1991,10.9648086075255,78806834,2.9851,30806791.8,94850000.0,0.6,0.34,16900000.0
21,Algeria,1993,11.03196447618001,81943970,2.9652,37226808.400000006,102030000.0,2364.8,0.36,17000000.0
22,Algeria,1994,11.010945850129833,86147476,3.0534,35959859.6,99770000.0,2342.9,0.38,15500000.0
23,Algeria,1995,11.04926857058247,94981417,3.3028,36251006.0,103960000.0,2519.9,0.4,15100000.0
24,Algeria,1996,11.19540213741972,96786277,3.3071,35990235.2,105310000.0,2653.5,0.4,15000000.0
25,Algeria,1997,11.16635049224186,87004706,2.9252,33996829.2,109400000.0,2008.5,0.36,15000000.0
26,Algeria,1998,11.30914579738591,106621010,3.5313,33360230.9,114700000.0,1783.5,0.44,15500000.0
27,Algeria,1999,11.57893634672595,91668212,2.9934,33905562.5,120680000.0,1736.5,0.37,16500000.0
28,Algeria,2000,11.56132918290307,82221010,2.6487,34945893.400000006,127650000.0,1703.5,0.33,16800000.0
29,Algeria,2001,11.51063710758547,83780203,2.6638,33850218.8,125230000.0,1225.3,0.33,17000000.0
30,Algeria,2002,11.41519967795413,89406933,2.8067,33894737.4,132440000.0,1965.3,0.34,19400000.0
31,Algeria,2003,11.227569373272669,91048404,2.822,36174946.6,138300000.0,1965.3,0.33,21800000.0
32,Algeria,2004,11.20273594221172,87853359,2.6873,36159560.1,142190000.0,1141.4,0.31,22000000.0
33,Algeria,2005,11.056236315147562,106472836,3.2119,37180520.4,147710000.0,955.4,0.36,24200000.0
34,Algeria,2006,10.92120288052285,100202857,2.9786,36812107.3,145930000.0,428.6,0.33,25600000.0
35,Algeria,2007,10.758245927763529,108401946,3.1727,37407345.6,153160000.0,318.0,0.34,27600000.0
36,Algeria,2008,10.62193188835798,109031978,3.1394,38102783.9,157230000.0,272.4,0.34,29200000.0
37,Algeria,2009,10.51834360801599,120184849,3.4014,41175322.7,166450000.0,174.35,0.38,30500000.0
38,Algeria,2010,10.4781673997708,117813010,3.2746,42322323.9,167180000.0,65.68,0.35,31700000.0
39,Algeria,2011,10.50948288588413,119807538,3.2679,44589713.6,179590000.0,69.12,0.35,34200000.0
40,Algeria,2012,10.57561973127988,128110556,3.4269,47286755.0,189600000.0,58.36,0.37,38400000.0
41,Algeria,2013,10.68276311099477,132435012,3.4723,48164237.4,193450000.0,51.97,0.38,40200000.0
42,Algeria,2014,10.76536742913973,142528719,3.6617,52390725.2,203810000.0,53.66,0.4,43600000.0
43,Angola,1991,13.52212199876158,5064054,0.4134,116681060.3,151270000.0,0.0,0.02,1300000.0
44,Angola,1995,13.29336993160828,10948907,0.7851,117349308.1,156890000.0,114.8,0.05,1100000.0
45,Angola,1996,13.11205807598062,10423993,0.7239,126074569.2,161390000.0,114.8,0.04,1000000.0
46,Angola,1997,12.83739809723367,7347664,0.4941,121100796.0,155980000.0,114.8,0.03,1100000.0
47,Angola,1998,12.32893615067964,7268420,0.4732,133450331.0,170050000.0,115.9,0.03,800000.0
48,Angola,2000,12.632408234572807,9516064,0.5804,124145270.2,161840000.0,107.0,0.04,1100000.0
49,Angola,2001,12.48251552357922,9670938,0.5707,102707192.6,143580000.0,119.8,0.04,1200000.0
50,Angola,2002,12.47227593533718,12598124,0.7191,119226099.6,164500000.0,110.0,0.05,1500000.0
51,Angola,2003,12.41722610692862,8988970,0.496,125496986.7,181040000.0,109.7,0.03,2800000.0
52,Angola,2004,12.430348520436969,18700613,0.9969,139574403.8,193160000.0,82.2,0.07,3500000.0
53,Angola,2005,12.28784330622528,19005991,0.978,138652962.8,191800000.0,59.2,0.06,2500000.0
54,Angola,2006,12.191300081066087,22101650,1.0969,109970725.8,165860000.0,42.1,0.07,3300000.0
55,Angola,2007,12.07818265166181,24977271,1.1948,131857900.3,196180000.0,17.0,0.08,3900000.0
56,Angola,2008,12.01219551262696,25486267,1.1747,110218444.8,173970000.0,20.2,0.08,5200000.0
57,Angola,2009,11.87288209746116,27564973,1.2243,113714827.0,180680000.0,35.3,0.09,5800000.0
58,Angola,2010,11.734616564561753,28864503,1.2358,116409664.1,186780000.0,12.7,0.09,6500000.0
59,Angola,2011,11.522309635662891,30329742,1.2522,148244155.9,220880000.0,11.55,0.09,7200000.0
60,Angola,2012,11.281519754451107,33800624,1.3462,115828598.3,185500000.0,6.6,0.1,7200000.0
61,Angola,2013,10.99929243905115,33228583,1.2772,129858204.8,202250000.0,15.43,0.09,8199999.999999999
62,Angola,2014,10.70123023213231,33296311,1.2359,112490513.0,183480000.0,13.21,0.09,8600000.0
63,Argentina,1990,6.05965475769948,112079088,3.436,307817364.8,329740000.0,1514.0,0.49,28400000.0
64,Argentina,1991,5.98398073340762,117505744,3.5523,306188041.4,334380000.0,9912.3,0.51,30000000.0
65,Argentina,1992,5.91020151712185,121230584,3.6157,309697635.90000004,338740000.0,10085.8,0.54,32100000.0
66,Argentina,1993,5.799529599157649,117777485,3.4671,310102352.0,338810000.0,4380.5,0.52,35700000.0
67,Argentina,1994,5.66605501450467,122229002,3.5529,314697400.5,348840000.0,7082.1,0.53,37100000.0
68,Argentina,1995,5.557957246580711,127764859,3.6684,315613699.9,351330000.0,10042.5,0.54,38300000.0
69,Argentina,1996,5.419113522027899,134762070,3.8234,309648989.2,351400000.0,4949.5,0.56,39500000.0
70,Argentina,1997,5.2539629631807205,137641464,3.8601,306252593.3,356310000.0,4369.0,0.57,40600000.0
71,Argentina,1998,5.11008805707958,139451896,3.8668,305839288.2,359590000.0,4374.9,0.58,42500000.0
72,Argentina,1999,4.9645037724296905,147285131,4.0388,310691976.8,367050000.0,4957.0,0.6,41100000.0
73,Argentina,2000,4.77610571536137,142358347,3.861,307564015.0,366340000.0,3383.0,0.56,40300000.0
74,Argentina,2001,4.63775744451707,134003944,3.5949,324390386.1,383270000.0,3841.0,0.53,36600000.0
75,Argentina,2002,4.52100251022042,124392348,3.3011,339649266.6,386170000.0,2386.0,0.48,34100000.0
76,Argentina,2003,4.41585370934175,134631008,3.5347,357255665.29999995,408490000.0,2835.5,0.49,35000000.0
77,Argentina,2004,4.3071128056679004,157043391,4.0799,374901646.2,436710000.0,2784.1,0.55,37900000.0
78,Argentina,2005,4.24304394030375,161434200,4.1507,367495973.2,428510000.0,2208.6,0.55,39600000.0
79,Argentina,2006,4.20169358330046,174608992,4.4441,365642481.1,462740000.0,2215.5,0.57,41800000.0
80,Argentina,2007,4.20735892657392,174245760,4.3908,357970338.2,465580000.0,1199.7,0.55,42500000.0
81,Argentina,2008,4.14889101519397,188106000,4.6932,365245207.9,482380000.0,654.8,0.59,45100000.0
82,Argentina,2009,4.14850510660488,178949200,4.4204,354909988.5,469510000.0,395.4,0.57,40600000.0
83,Argentina,2010,4.15240427082313,186733136,4.5661,332180460.8,451700000.0,780.8,0.56,43400000.0
84,Argentina,2011,4.17885767895586,190273774,4.6048,324314915.7,460120000.0,831.16,0.55,49300000.0
85,Argentina,2012,4.2111643109456,191714848,4.5914,337579558.0,478030000.0,855.29,0.55,48800000.0
86,Argentina,2013,4.22789071435946,190133373,4.506,331618292.9,466520000.0,497.7,0.54,45700000.0
87,Armenia,1991,13.71668048905536,7288292,2.0793,3955455.903,25080000.0,0.0,0.03,2900000.0
88,Armenia,1995,13.85389905770162,3433180,1.0671,2183994.9,6800000.0,201.8,0.01,100000.0
89,Armenia,1996,13.88424651962468,2595440,0.8192,2188776.8,5680000.0,196.5,0.01,100000.0
90,Armenia,1997,13.7723415021078,3269238,1.0435,2218402.6,6410000.0,191.2,0.01,100000.0
91,Armenia,1998,13.700920879032822,3397212,1.0928,2086033.6,6340000.0,185.9,0.01,100000.0
92,Armenia,1999,13.710073455821409,3049535,0.9872,2080752.5,5750000.0,9.8,0.01,100000.0
93,Armenia,2000,13.65055806424483,3491407,1.1374,2175370.3,6130000.0,25.7,0.01,600000.0
94,Armenia,2001,13.54470102694686,3532701,1.158,2218466.8,6300000.0,164.4,0.01,600000.0
95,Armenia,2002,13.41296742958025,3076793,1.0141,2288860.1,5920000.0,174.4,0.01,500000.0
96,Armenia,2003,13.2456197309385,3455560,1.145,2407650.2,6370000.0,174.4,0.01,600000.0
97,Armenia,2004,13.021334119053,3691197,1.2301,2706976.5,6780000.0,114.6,0.01,600000.0
98,Armenia,2005,12.86689516654852,4376169,1.4679,2744438.8000000003,7430000.0,87.0,0.01,700000.0
99,Armenia,2006,12.777332965445453,4401590,1.4879,3176743.7,7950000.0,62.8,0.01,700000.0
100,Armenia,2007,12.67131949034544,5100210,1.7391,3315795.9,8570000.0,29.4,0.02,1100000.0
101,Armenia,2008,12.567689807201878,5574790,1.9173,3347222.0,9140000.0,18.4,0.02,1300000.0
102,Armenia,2009,12.428171456686847,4363332,1.5108,3172839.8000000003,8050000.000000001,24.9,0.01,1100000.0
103,Armenia,2010,12.26432944998489,4252750,1.478,3156636.6,7830000.0,7.1,0.01,1300000.0
104,Armenia,2011,12.22173955189676,4968878,1.7274,2789200.0,8260000.0,7.5,0.01,1300000.0
105,Armenia,2012,12.15162997998707,5748252,1.993,2957169.3,9180000.0,5.67,0.02,1300000.0
106,Armenia,2013,12.10530058802311,5535004,1.9102,3013294.7,9130000.0,4.54,0.02,1300000.0
107,Armenia,2014,12.06347262687315,5604113,1.9242,3457200.0,9110000.0,3.15,0.02,1500000.0
108,Australia,1990,2.10891907031809,279364842,16.4714,185579478.1,511200000.0,7434.4,1.23,62000000.0
109,Australia,1991,2.05340257981129,281871548,16.3981,184811478.1,511080000.0,8147.8,1.21,60600000.0
110,Australia,1992,2.00495329060752,286332153,16.4538,181999478.1,513320000.00000006,7017.5,1.27,62100000.0
111,Australia,1993,1.95356703872922,291324678,16.5495,181290478.1,513000000.0,4615.7,1.28,63200000.0
112,Australia,1994,1.91073696982052,300084261,16.8601,183777642.0,516030000.0,4242.1,1.31,64800000.0
113,Australia,1995,1.8683803079487,308022587,17.1189,182309957.8,524110000.0,3120.0,1.31,67500000.0
114,Australia,1996,1.83295657947398,316332223,17.3911,187551645.9,517130000.0,826.9,1.31,70000000.0
115,Australia,1997,1.79554574352295,327109554,17.7901,192594689.2,528170000.0,602.9,1.35,71400000.0
116,Australia,1998,1.75129650690756,338697079,18.2222,193690461.4,554160000.0,770.7,1.4,71400000.0
117,Australia,1999,1.70286813495938,346598867,18.4477,195857423.2,589370000.0,831.9,1.41,72800000.0
118,Australia,2000,1.6547359183502,351819599,18.5252,196437081.2,608160000.0,484.6,1.39,75000000.0
119,Australia,2001,1.6142423538877098,360454654,18.7789,280068154.7,700990000.0,360.8,1.42,74400000.0
120,Australia,2002,1.54871534191508,367112898,18.922,279828731.6,688480000.0,389.7,1.41,76100000.0
121,Australia,2003,1.47896408850034,373233047,19.0191,286313616.5,620390000.0,278.9,1.36,76400000.0
122,Australia,2004,1.39501206447681,386766273,19.4554,274773787.0,664400000.0,189.8,1.35,79200000.0
123,Australia,2005,1.34153118599671,387601592,19.2086,277692098.7,622460000.0,171.0,1.31,79300000.0
124,Australia,2006,1.30162501133891,397294711,19.3554,428256385.9,637390000.0,69.4,1.3,81300000.0
125,Australia,2007,1.26800485645077,401925539,19.2159,420118898.9,628770000.0,86.6,1.28,83600000.0
126,Australia,2008,1.23682570991946,409653047,19.2034,413916901.0,597420000.0,68.4,1.28,85300000.0
127,Australia,2009,1.20151096557578,401321329,18.4508,424684896.8,617920000.0,57.2,1.27,85000000.0
128,Australia,2010,1.18132794311488,404533220,18.2595,416792393.5,579140000.0,-6.4,1.21,87600000.0
129,Australia,2011,1.16748455951055,405343883,17.9849,208776374.6,617790000.0,46.81,1.18,90300000.0
130,Australia,2012,1.16092089163955,402665844,17.5806,200995223.1,617860000.0,-33.51,1.15,90900000.0
131,Australia,2013,1.15661575961666,393170619,16.907,206916985.9,529260000.0,48.62,1.11,92300000.0
132,Australia,2014,1.15072421985759,399253746,16.9201,201652508.1,537950000.0,10.1,1.12,92500000.0
133,Austria,1990,6.30888844483388,62140063,8.0451,22774023.2,64220000.0,2004.4,0.27,13600000.0
134,Austria,1991,6.31112436770757,65738192,8.4576,22978836.5,68450000.0,1896.7,0.28,15100000.0
135,Austria,1992,6.2654418375692895,60236456,7.6921,22438899.0,62720000.0,1710.2,0.27,15100000.0
136,Austria,1993,6.21962007155901,60660781,7.6863,22319110.9,62630000.0,641.1,0.27,15200000.0
137,Austria,1994,6.13177537722763,61034437,7.68,22067483.0,62710000.0,1000.9,0.27,15300000.0
138,Azerbaijan,1991,14.31238466705478,50033976,6.8,16184183.36,84610000.0,2.8,0.22,4800000.0
139,Azerbaijan,1996,14.69687342460045,31242309,3.9771,10669144.8,55820000.0,962.9,0.13,2700000.0
140,Azerbaijan,1997,14.40127488390732,29802216,3.7602,10718042.0,55910000.0,227.5,0.12,3200000.0
141,Azerbaijan,1998,14.03889277988069,31665754,3.9632,10150710.9,56760000.0,152.4,0.13,3000000.0
142,Azerbaijan,1999,13.64377572306689,28569828,3.5472,10172129.2,57060000.0,100.7,0.12,1600000.0
143,Azerbaijan,2000,13.238232750702588,29506320,3.6326,10893509.1,59130000.0,88.2,0.12,2400000.0
144,Azerbaijan,2001,12.827720684272458,28791317,3.5123,11116999.6,59660000.0,52.1,0.11,2600000.0
145,Azerbaijan,2002,12.4163881142096,29640751,3.5811,11404220.8,60600000.0,12.1,0.11,2900000.0
146,Azerbaijan,2003,12.01875564187234,30623566,3.6625,11857987.1,58280000.0,10.2,0.11,3100000.0
147,Azerbaijan,2004,11.62676746119038,32077061,3.7966,12204395.4,59580000.0,15.1,0.11,3800000.0
148,Azerbaijan,2005,11.52060690739824,34286420,4.0155,13250579.5,63560000.0,21.9,0.12,4200000.0
149,Azerbaijan,2006,11.49352848988933,39108582,4.5316,13047171.1,60100000.0,0.9,0.13,4800000.0
150,Azerbaijan,2007,11.47588037424124,30459078,3.4913,14662480.9,58760000.0,0.8,0.1,3800000.0
151,Azerbaijan,2008,11.43324709101668,35449751,4.0184,16406452.000000002,66319999.99999999,0.8,0.11,4800000.0
152,Azerbaijan,2009,11.37641344511288,31856400,3.5696,16768271.1,67230000.0,3.5,0.1,4200000.0
153,Azerbaijan,2010,11.3099893480607,30632888,3.3914,16439517.8,71510000.0,0.3,0.09,4900000.0
154,Azerbaijan,2011,11.28326284523739,32975696,3.6054,16964885.5,74010000.0,7.63,0.1,5800000.0
155,Azerbaijan,2012,11.26819696419506,35048364,3.783,17721082.5,75300000.0,3.52,0.1,6400000.0
156,Azerbaijan,2013,11.2490419282605,35214656,3.752,18151081.7,74980000.0,1.76,0.1,7300000.0
157,Bahrain,1990,17.62767182438284,12405777,25.0153,1595710.0,14080000.0,178.8,0.05,1000000.0
158,Bahrain,1991,17.39226372142137,11856551,23.259,1534400.0,13770000.0,161.1,0.05,1000000.0
159,Bahrain,1992,17.19880332504459,10873574,20.7875,1719030.0,15800000.0,230.8,0.05,1100000.0
160,Bahrain,1993,17.00001550608549,14608586,27.244,1889110.0,16690000.000000002,187.0,0.06,1200000.0
161,Bahrain,1994,16.89605153248466,14754455,26.8463,1928890.0,17140000.0,200.9,0.06,1200000.0
