,Entity,Year,CO2 Emissions Per Cap
41,Afghanistan,1990,0.2097
42,Afghanistan,1991,0.1825
43,Afghanistan,1992,0.0952
44,Afghanistan,1993,0.0843
45,Afghanistan,1994,0.0751
46,Afghanistan,1995,0.0679
47,Afghanistan,1996,0.0618
48,Afghanistan,1997,0.056
49,Afghanistan,1998,0.0521
50,Afghanistan,1999,0.0401
51,Afghanistan,2000,0.0365
52,Afghanistan,2001,0.0369
53,Afghanistan,2002,0.0465
54,Afghanistan,2003,0.0501
55,Afghanistan,2004,0.036
56,Afghanistan,2005,0.0508
57,Afghanistan,2006,0.0619
58,Afghanistan,2007,0.0837
59,Afghanistan,2008,0.1515
60,Afghanistan,2009,0.2374
61,Afghanistan,2010,0.2877
62,Afghanistan,2011,0.402
63,Afghanistan,2012,0.3279
64,Afghanistan,2013,0.2616
65,Afghanistan,2014,0.233
178,Africa,1990,1.0524
179,Africa,1991,1.0685
180,Africa,1992,1.0101
181,Africa,1993,1.0434
182,Africa,1994,1.0292
183,Africa,1995,1.0767
184,Africa,1996,1.0655
185,Africa,1997,1.0789
186,Africa,1998,1.0853
187,Africa,1999,1.0495
188,Africa,2000,1.0936
189,Africa,2001,1.0645
190,Africa,2002,1.0489
191,Africa,2003,1.1094
192,Africa,2004,1.1603
193,Africa,2005,1.1547
194,Africa,2006,1.1613
195,Africa,2007,1.1763
196,Africa,2008,1.1968
197,Africa,2009,1.1762
198,Africa,2010,1.1725
199,Africa,2011,1.1809
200,Africa,2012,1.1456
201,Africa,2013,1.1227
202,Africa,2014,1.1837
266,Albania,1990,1.6569
267,Albania,1991,1.2889
268,Albania,1992,0.7687
269,Albania,1993,0.7247
270,Albania,1994,0.6078
271,Albania,1995,0.6638
272,Albania,1996,0.6432
273,Albania,1997,0.4941
274,Albania,1998,0.5607
275,Albania,1999,0.9528
276,Albania,2000,0.9601
277,Albania,2001,1.0291
278,Albania,2002,1.199
279,Albania,2003,1.3572
280,Albania,2004,1.3217
281,Albania,2005,1.3603
282,Albania,2006,1.2548
283,Albania,2007,1.262
284,Albania,2008,1.4228
285,Albania,2009,1.4308
286,Albania,2010,1.5088
287,Albania,2011,1.7178
288,Albania,2012,1.6018
289,Albania,2013,1.6971
290,Albania,2014,1.9406
371,Algeria,1990,2.9791
372,Algeria,1991,2.9851
373,Algeria,1992,2.9555
374,Algeria,1993,2.9652
375,Algeria,1994,3.0534
376,Algeria,1995,3.3028
377,Algeria,1996,3.3071
378,Algeria,1997,2.9252
379,Algeria,1998,3.5313
380,Algeria,1999,2.9934
381,Algeria,2000,2.6487
382,Algeria,2001,2.6638
383,Algeria,2002,2.8067
384,Algeria,2003,2.822
385,Algeria,2004,2.6873
386,Algeria,2005,3.2119
387,Algeria,2006,2.9786
388,Algeria,2007,3.1727
389,Algeria,2008,3.1394
390,Algeria,2009,3.4014
391,Algeria,2010,3.2746
392,Algeria,2011,3.2679
393,Algeria,2012,3.4269
394,Algeria,2013,3.4723
395,Algeria,2014,3.6617
402,Andorra,1990,7.4614
403,Andorra,1991,7.1772
404,Andorra,1992,6.9071
405,Andorra,1993,6.7302
406,Andorra,1994,6.489
407,Andorra,1995,6.6556
408,Andorra,1996,7.059
409,Andorra,1997,7.2348
410,Andorra,1998,7.6548
411,Andorra,1999,7.9693
412,Andorra,2000,8.0127
413,Andorra,2001,7.7802
414,Andorra,2002,7.5845
415,Andorra,2003,7.31
416,Andorra,2004,7.352
417,Andorra,2005,7.2935
418,Andorra,2006,6.7404
419,Andorra,2007,6.5142
420,Andorra,2008,6.4227
421,Andorra,2009,6.1167
422,Andorra,2010,6.1172
423,Andorra,2011,5.8625
424,Andorra,2012,5.912
425,Andorra,2013,5.8972
426,Andorra,2014,5.8281
473,Angola,1990,0.4296
474,Angola,1991,0.4134
475,Angola,1992,0.408
476,Angola,1993,0.4396
477,Angola,1994,0.2862
478,Angola,1995,0.7851
479,Angola,1996,0.7239
480,Angola,1997,0.4941
481,Angola,1998,0.4732
482,Angola,1999,0.5754
483,Angola,2000,0.5804
484,Angola,2001,0.5707
485,Angola,2002,0.7191
486,Angola,2003,0.496
487,Angola,2004,0.9969
488,Angola,2005,0.978
489,Angola,2006,1.0969
490,Angola,2007,1.1948
491,Angola,2008,1.1747
492,Angola,2009,1.2243
493,Angola,2010,1.2358
494,Angola,2011,1.2522
495,Angola,2012,1.3462
496,Angola,2013,1.2772
497,Angola,2014,1.2359
504,Anguilla,1990,5.7675
505,Anguilla,1991,5.6135
506,Anguilla,1992,5.8888
507,Anguilla,1993,6.9489
508,Anguilla,1994,6.8266
509,Anguilla,1995,6.6834
510,Anguilla,1996,6.8811
511,Anguilla,1997,6.7016
512,Anguilla,1998,7.2018
513,Anguilla,1999,7.342
514,Anguilla,2000,7.8186
515,Anguilla,2001,8.2694
516,Anguilla,2002,8.1034
517,Anguilla,2003,8.5543
518,Anguilla,2004,9.8865
519,Anguilla,2005,10.307
520,Anguilla,2006,11.2872
521,Anguilla,2007,11.6797
522,Anguilla,2008,11.5061
523,Anguilla,2009,11.0628
524,Anguilla,2010,11.1807
525,Anguilla,2011,10.4978
526,Anguilla,2012,10.3593
527,Anguilla,2013,8.4037
528,Anguilla,2014,9.8648
568,Antigua and Barbuda,1990,3.5156
569,Antigua and Barbuda,1991,3.3539
570,Antigua and Barbuda,1992,3.24
571,Antigua and Barbuda,1993,3.2865
572,Antigua and Barbuda,1994,3.2169
573,Antigua and Barbuda,1995,3.2547
574,Antigua and Barbuda,1996,3.3938
575,Antigua and Barbuda,1997,3.5768
576,Antigua and Barbuda,1998,3.7031
577,Antigua and Barbuda,1999,3.7781
578,Antigua and Barbuda,2000,3.8565
579,Antigua and Barbuda,2001,3.8438
580,Antigua and Barbuda,2002,4.2116
581,Antigua and Barbuda,2003,4.435
582,Antigua and Barbuda,2004,4.5602
583,Antigua and Barbuda,2005,4.5878
584,Antigua and Barbuda,2006,4.6512
585,Antigua and Barbuda,2007,4.84
586,Antigua and Barbuda,2008,4.8914
587,Antigua and Barbuda,2009,5.111
588,Antigua and Barbuda,2010,5.1611
589,Antigua and Barbuda,2011,4.9674
590,Antigua and Barbuda,2012,5.066
591,Antigua and Barbuda,2013,5.045
592,Antigua and Barbuda,2014,4.9876
702,Argentina,1990,3.436
703,Argentina,1991,3.5523
704,Argentina,1992,3.6157
705,Argentina,1993,3.4671
706,Argentina,1994,3.5529
707,Argentina,1995,3.6684
708,Argentina,1996,3.8234
709,Argentina,1997,3.8601
710,Argentina,1998,3.8668
711,Argentina,1999,4.0388
712,Argentina,2000,3.861
713,Argentina,2001,3.5949
714,Argentina,2002,3.3011
715,Argentina,2003,3.5347
716,Argentina,2004,4.0799
717,Argentina,2005,4.1507
718,Argentina,2006,4.4441
719,Argentina,2007,4.3908
720,Argentina,2008,4.6932
721,Argentina,2009,4.4204
722,Argentina,2010,4.5661
723,Argentina,2011,4.6048
724,Argentina,2012,4.5914
725,Argentina,2013,4.506
726,Argentina,2014,4.4247
871,Armenia,1990,2.533
872,Armenia,1991,2.0793
873,Armenia,1992,1.7029
874,Armenia,1993,0.7657
875,Armenia,1994,0.8263
876,Armenia,1995,1.0671
877,Armenia,1996,0.8192
878,Armenia,1997,1.0435
879,Armenia,1998,1.0928
880,Armenia,1999,0.9872
881,Armenia,2000,1.1374
882,Armenia,2001,1.158
883,Armenia,2002,1.0141
884,Armenia,2003,1.145
885,Armenia,2004,1.2301
886,Armenia,2005,1.4679
887,Armenia,2006,1.4879
888,Armenia,2007,1.7391
889,Armenia,2008,1.9173
890,Armenia,2009,1.5108
891,Armenia,2010,1.478
892,Armenia,2011,1.7274
893,Armenia,2012,1.993
894,Armenia,2013,1.9102
895,Armenia,2014,1.9242
944,Aruba,1990,7.8406
945,Aruba,1991,8.2212
946,Aruba,1992,7.8928
