,Entity,Year,Total GHG
0,Afghanistan,1990,15140000.0
1,Afghanistan,1991,15060000.0
2,Afghanistan,1992,13600000.0
3,Afghanistan,1993,13430000.0
4,Afghanistan,1994,13240000.0
5,Afghanistan,1995,13450000.0
6,Afghanistan,1996,14400000.0
7,Afghanistan,1997,15300000.0
8,Afghanistan,1998,16050000.0
9,Afghanistan,1999,16890000.0
10,Afghanistan,2000,15050000.0
11,Afghanistan,2001,13470000.0
12,Afghanistan,2002,16100000.000000002
13,Afghanistan,2003,16780000.0
14,Afghanistan,2004,16350000.000000002
15,Afghanistan,2005,17090000.0
16,Afghanistan,2006,20740000.0
17,Afghanistan,2007,24780000.0
18,Afghanistan,2008,31390000.0
19,Afghanistan,2009,37720000.0
20,Afghanistan,2010,44750000.0
21,Afghanistan,2011,58620000.0
22,Afghanistan,2012,67050000.0
23,Afghanistan,2013,76290000.0
24,Afghanistan,2014,86600000.0
27,Albania,1990,11430000.0
28,Albania,1991,9030000.0
29,Albania,1992,6950000.0
30,Albania,1993,6950000.0
31,Albania,1994,7730000.0
32,Albania,1995,7480000.0
33,Albania,1996,7280000.0
34,Albania,1997,6510000.0
35,Albania,1998,6810000.0
36,Albania,1999,7960000.0
37,Albania,2000,8400000.0
38,Albania,2001,9030000.0
39,Albania,2002,9720000.0
40,Albania,2003,10090000.0
41,Albania,2004,10150000.0
42,Albania,2005,9920000.0
43,Albania,2006,8750000.0
44,Albania,2007,9060000.0
45,Albania,2008,8530000.0
46,Albania,2009,8640000.0
47,Albania,2010,8850000.0
48,Albania,2011,9290000.0
49,Albania,2012,8950000.0
50,Albania,2013,9010000.0
51,Albania,2014,9510000.0
54,Algeria,1990,96030000.0
55,Algeria,1991,94850000.0
56,Algeria,1992,94540000.0
57,Algeria,1993,102030000.0
58,Algeria,1994,99770000.0
59,Algeria,1995,103960000.0
60,Algeria,1996,105310000.0
61,Algeria,1997,109400000.0
62,Algeria,1998,114700000.0
63,Algeria,1999,120680000.0
64,Algeria,2000,127650000.0
65,Algeria,2001,125230000.0
66,Algeria,2002,132440000.0
67,Algeria,2003,138300000.0
68,Algeria,2004,142190000.0
69,Algeria,2005,147710000.0
70,Algeria,2006,145930000.0
