,Entity,Year-Zs,Net-Zero Target
0,Antigua and Barbuda,2040,1
1,Australia,2050,1
2,Austria,2040,1
3,Bahrain,2060,1
4,Barbados,2030,1
5,Belize,2050,1
6,Benin,2000,1
7,Bhutan,2000,1
8,Brazil,2060,1
9,Cambodia,2000,1
10,Canada,2050,1
11,Chile,2050,1
12,China,2060,1
13,Costa Rica,2050,1
14,Croatia,2050,1
15,Denmark,2050,1
16,Ecuador,2050,1
17,Estonia,2050,1
18,Fiji,2050,1
19,Finland,2035,1
20,France,2050,1
21,Germany,2045,1
22,Greece,2050,1
23,Guinea-Bissau,2030,1
24,Guyana,2019,1
25,Hungary,2050,1
26,Iceland,2040,1
27,India,2070,1
28,Ireland,2050,1
29,Israel,2050,1
30,Italy,2050,1
31,Japan,2050,1
32,Kazakhstan,2050,1
33,Latvia,2050,1
34,Liberia,2000,1
35,Lithuania,2050,1
36,Luxembourg,2050,1
37,Madagascar,2010,1
38,Malaysia,2050,1
39,Maldives,2030,1
40,Malta,2050,1
41,Marshall Islands,2050,1
42,Monaco,2050,1
43,Nepal,2050,1
44,New Zealand,2050,1
45,Nigeria,2030,1
46,Panama,2050,1
47,Portugal,2050,1
48,Romania,2050,1
49,Russia,2060,1
50,Saudi Arabia,2060,1
51,Singapore,2021,1
52,Slovenia,2050,1
53,South Africa,2050,1
54,South Korea,2050,1
55,Spain,2050,1
56,Sri Lanka,2060,1
57,Sweden,2045,1
58,Thailand,2050,1
59,Turkey,2053,1
60,Ukraine,2060,1
61,United Arab Emirates,2050,1
62,United Kingdom,2050,1
63,United States,2050,1
64,Uruguay,2050,1
65,Vietnam,2050,1
