,Entity,Year,Consumption of Ozone
1,Afghanistan,1991,0.0
2,Afghanistan,1995,381.9
3,Afghanistan,1996,381.9
4,Afghanistan,1997,381.9
5,Afghanistan,1998,0.9
6,Afghanistan,1999,0.9
7,Afghanistan,2000,0.9
8,Afghanistan,2004,181.5
9,Afghanistan,2005,145.4
10,Afghanistan,2006,99.4
11,Afghanistan,2007,61.3
12,Afghanistan,2008,47.9
13,Afghanistan,2009,49.2
14,Afghanistan,2010,24.9
15,Afghanistan,2011,24.04
16,Afghanistan,2012,17.34
17,Afghanistan,2013,17.7
19,Africa,1991,19073.6
20,Africa,1993,24550.1
21,Africa,1994,18480.1
22,Africa,1995,20318.2
23,Africa,1996,21257.6
24,Africa,1997,20346.8
25,Africa,1998,21756.2
26,Africa,1999,17789.7
27,Africa,2000,17724.9
28,Africa,2001,17928.4
29,Africa,2002,15744.0
30,Africa,2003,13653.6
31,Africa,2004,11199.0
32,Africa,2005,7524.5
33,Africa,2006,5306.5
34,Africa,2007,3410.9
35,Africa,2008,3248.8
36,Africa,2009,3403.8
37,Africa,2010,3062.36
38,Africa,2011,2734.09
39,Africa,2012,2703.41
40,Africa,2013,1993.0
42,Albania,1991,0.0
43,Albania,1995,43.4
44,Albania,1996,43.2
45,Albania,1997,45.2
46,Albania,1998,49.6
47,Albania,1999,56.2
48,Albania,2000,65.1
49,Albania,2001,70.2
50,Albania,2002,50.5
51,Albania,2003,38.0
52,Albania,2004,36.6
53,Albania,2005,14.3
54,Albania,2006,15.2
55,Albania,2007,6.6
56,Albania,2008,4.1
57,Albania,2009,5.4
58,Albania,2010,6.5
59,Albania,2011,6.49
60,Albania,2012,6.59
61,Albania,2013,5.67
63,Algeria,1991,0.6
64,Algeria,1993,2364.8
65,Algeria,1994,2342.9
66,Algeria,1995,2519.9
67,Algeria,1996,2653.5
68,Algeria,1997,2008.5
69,Algeria,1998,1783.5
70,Algeria,1999,1736.5
71,Algeria,2000,1703.5
72,Algeria,2001,1225.3
73,Algeria,2002,1965.3
74,Algeria,2003,1965.3
75,Algeria,2004,1141.4
76,Algeria,2005,955.4
77,Algeria,2006,428.6
78,Algeria,2007,318.0
79,Algeria,2008,272.4
80,Algeria,2009,174.35
81,Algeria,2010,65.68
82,Algeria,2011,69.12
83,Algeria,2012,58.36
84,Algeria,2013,51.97
85,Algeria,2014,53.66
87,Andorra,1991,0.0
88,Andorra,2009,1.9
89,Andorra,2010,0.0
90,Andorra,2011,0.0
91,Andorra,2012,0.0
92,Andorra,2013,0.0
93,Andorra,2014,0.0
95,Angola,1991,0.0
