year, mo,    data-type, region, extent,   area,year, mo,    data-type, region, extent,   area,year, mo,    data-type, region, extent,   area,year, mo,    data-type, region, extent,   area,year, mo,    data-type, region, extent,   area,year, mo,    data-type, region, extent,   area,year, mo,    data-type, region, extent,   area,year, mo,    data-type, region, extent,   area,year, mo,    data-type, region, extent,   area,year, mo,    data-type, region, extent,   area,year, mo,    data-type, region, extent,   area,year, mo,    data-type, region, extent,   area
1979,1,      Goddard,      N,15.41,12.41,1979.0,2.0,      Goddard,      N,16.18,13.18,1979.0,3.0,      Goddard,      N,16.34,13.21,1979.0,4.0,      Goddard,      N,15.45,12.53,1979.0,5.0,      Goddard,      N,13.86,11.11,1979.0,6.0,      Goddard,      N,12.53,9.34,1979.0,7.0,      Goddard,      N,10.31,6.69,1979.0,8.0,      Goddard,      N,8.04,5.06,1979.0,9.0,      Goddard,      N,7.05,4.58,1979.0,10.0,      Goddard,      N,8.75,6.19,1978,11,      Goddard,      N,11.65,9.04,1978,12,      Goddard,      N,13.67,10.9
1980,1,      Goddard,      N,14.86,11.94,1980.0,2.0,      Goddard,      N,15.96,12.9,1980.0,3.0,      Goddard,      N,16.04,12.99,1980.0,4.0,      Goddard,      N,15.43,12.52,1980.0,5.0,      Goddard,      N,13.79,10.96,1980.0,6.0,      Goddard,      N,12.2,9.0,1980.0,7.0,      Goddard,      N,10.1,6.53,1980.0,8.0,      Goddard,      N,7.98,4.94,1980.0,9.0,      Goddard,      N,7.67,4.87,1980.0,10.0,      Goddard,      N,9.18,6.5,1979,11,      Goddard,      N,10.94,8.37,1979,12,      Goddard,      N,13.34,10.63
1981,1,      Goddard,      N,14.91,11.91,1981.0,2.0,      Goddard,      N,15.6,12.53,1981.0,3.0,      Goddard,      N,15.63,12.71,1981.0,4.0,      Goddard,      N,15.01,12.24,1981.0,5.0,      Goddard,      N,13.8,10.99,1981.0,6.0,      Goddard,      N,12.43,9.03,1981.0,7.0,      Goddard,      N,10.27,6.31,1981.0,8.0,      Goddard,      N,7.84,4.48,1981.0,9.0,      Goddard,      N,7.14,4.44,1981.0,10.0,      Goddard,      N,8.86,6.27,1980,11,      Goddard,      N,11.38,8.73,1980,12,      Goddard,      N,13.59,10.78
1982,1,      Goddard,      N,15.18,12.19,1982.0,2.0,      Goddard,      N,15.97,12.87,1982.0,3.0,      Goddard,      N,16.04,13.07,1982.0,4.0,      Goddard,      N,15.47,12.63,1982.0,5.0,      Goddard,      N,13.97,11.17,1982.0,6.0,      Goddard,      N,12.48,9.46,1982.0,7.0,      Goddard,      N,10.37,6.87,1982.0,8.0,      Goddard,      N,8.14,5.0,1982.0,9.0,      Goddard,      N,7.3,4.43,1982.0,10.0,      Goddard,      N,9.42,6.67,1981,11,      Goddard,      N,10.93,8.31,1981,12,      Goddard,      N,13.34,10.54
1983,1,      Goddard,      N,14.94,12.01,1983.0,2.0,      Goddard,      N,16.01,12.94,1983.0,3.0,      Goddard,      N,16.09,12.93,1983.0,4.0,      Goddard,      N,15.17,12.21,1983.0,5.0,      Goddard,      N,13.49,10.87,1983.0,6.0,      Goddard,      N,12.3,9.27,1983.0,7.0,      Goddard,      N,10.57,6.86,1983.0,8.0,      Goddard,      N,8.19,4.97,1983.0,9.0,      Goddard,      N,7.39,4.7,1983.0,10.0,      Goddard,      N,9.33,6.79,1982,11,      Goddard,      N,11.63,9.06,1982,12,      Goddard,      N,13.64,10.88
1984,1,      Goddard,      N,14.47,11.68,1984.0,2.0,      Goddard,      N,15.3,12.26,1984.0,3.0,      Goddard,      N,15.58,12.55,1984.0,4.0,      Goddard,      N,15.01,12.18,1984.0,5.0,      Goddard,      N,13.58,10.88,1984.0,6.0,      Goddard,      N,12.15,9.09,1984.0,7.0,      Goddard,      N,9.98,6.3,1984.0,8.0,      Goddard,      N,7.77,4.68,1984.0,9.0,      Goddard,      N,6.81,4.11,1984.0,10.0,      Goddard,      N,8.56,5.91,1983,11,      Goddard,      N,11.46,8.99,1983,12,      Goddard,      N,13.3,10.63
1985,1,      Goddard,      N,14.72,11.69,1985.0,2.0,      Goddard,      N,15.47,12.48,1985.0,3.0,      Goddard,      N,15.89,12.75,1985.0,4.0,      Goddard,      N,15.36,12.54,1985.0,5.0,      Goddard,      N,14.07,11.25,1985.0,6.0,      Goddard,      N,12.22,8.96,1985.0,7.0,      Goddard,      N,9.74,5.99,1985.0,8.0,      Goddard,      N,7.4,4.6,1985.0,9.0,      Goddard,      N,6.7,4.23,1985.0,10.0,      Goddard,      N,8.55,6.12,1984,11,      Goddard,      N,10.84,8.24,1984,12,      Goddard,      N,12.99,10.27
1986,1,      Goddard,      N,14.89,11.88,1986.0,2.0,      Goddard,      N,15.78,12.62,1986.0,3.0,      Goddard,      N,15.91,12.72,1986.0,4.0,      Goddard,      N,15.06,12.04,1986.0,5.0,      Goddard,      N,13.38,10.7,1986.0,6.0,      Goddard,      N,11.98,8.99,1986.0,7.0,      Goddard,      N,10.15,6.62,1986.0,8.0,      Goddard,      N,7.98,5.01,1986.0,9.0,      Goddard,      N,7.41,4.72,1986.0,10.0,      Goddard,      N,9.48,6.83,1985,11,      Goddard,      N,11.02,8.42,1985,12,      Goddard,      N,13.05,10.24
1987,1,      Goddard,      N,14.97,11.9,1987.0,2.0,      Goddard,      N,16.05,13.02,1987.0,3.0,      Goddard,      N,15.82,12.83,1987.0,4.0,      Goddard,      N,15.21,12.35,1987.0,5.0,      Goddard,      N,13.74,10.97,1987.0,6.0,      Goddard,      N,12.49,9.39,1987.0,7.0,      Goddard,      N,10.33,6.55,1987.0,8.0,      Goddard,      N,7.63,-9999.0,1987.0,9.0,      Goddard,      N,7.28,5.64,1987.0,10.0,      Goddard,      N,9.05,7.49,1986,11,      Goddard,      N,11.45,8.87,1986,12,      Goddard,      N,13.22,10.53
1988,1,        -9999,      N,-9999.0,-9999.0,1988.0,2.0,      Goddard,      N,15.58,13.57,1988.0,3.0,      Goddard,      N,15.96,13.9,1988.0,4.0,      Goddard,      N,15.12,13.18,1988.0,5.0,      Goddard,      N,13.56,11.41,1988.0,6.0,      Goddard,      N,11.94,9.68,1988.0,7.0,      Goddard,      N,9.81,7.01,1988.0,8.0,      Goddard,      N,7.89,5.42,1988.0,9.0,      Goddard,      N,7.37,5.36,1988.0,10.0,      Goddard,      N,9.13,7.52,1987,11,      Goddard,      N,11.22,9.73,1987,12,        -9999,      N,-9999.0,-9999.0
