Entity,Code,Year,"Transport (CAIT, 2020)"
Albania,ALB,1990,700000
Albania,ALB,1991,500000
Albania,ALB,1992,400000
Albania,ALB,1993,500000
Albania,ALB,1994,600000
Albania,ALB,1995,600000
Albania,ALB,1996,600000
Albania,ALB,1997,500000
Albania,ALB,1998,700000
Albania,ALB,1999,1400000
Albania,ALB,2000,1500000
Albania,ALB,2001,1500000
Albania,ALB,2002,1800000
Albania,ALB,2003,1900000
Albania,ALB,2004,2300000
Albania,ALB,2005,2400000
Albania,ALB,2006,1900000
Albania,ALB,2007,2100000
Albania,ALB,2008,2300000
Albania,ALB,2009,2300000
Albania,ALB,2010,2200000
Albania,ALB,2011,2300000
Albania,ALB,2012,2300000
Albania,ALB,2013,2500000
Albania,ALB,2014,2500000
Albania,ALB,2015,2400000
Albania,ALB,2016,2300000
Algeria,DZA,1990,15800000
Algeria,DZA,1991,16900000
Algeria,DZA,1992,16800000
Algeria,DZA,1993,17000000
Algeria,DZA,1994,15500000
Algeria,DZA,1995,15100000
Algeria,DZA,1996,15000000
Algeria,DZA,1997,15000000
Algeria,DZA,1998,15500000
Algeria,DZA,1999,16500000
Algeria,DZA,2000,16800000
Algeria,DZA,2001,17000000
Algeria,DZA,2002,19400000
Algeria,DZA,2003,21800000
Algeria,DZA,2004,22000000
Algeria,DZA,2005,24200000
Algeria,DZA,2006,25600000
Algeria,DZA,2007,27600000
Algeria,DZA,2008,29200000
Algeria,DZA,2009,30500000
Algeria,DZA,2010,31700000
Algeria,DZA,2011,34200000
Algeria,DZA,2012,38400000
Algeria,DZA,2013,40200000
Algeria,DZA,2014,43600000
Algeria,DZA,2015,46500000
Algeria,DZA,2016,45100000
Angola,AGO,1990,1000000
Angola,AGO,1991,1300000
Angola,AGO,1992,1200000
Angola,AGO,1993,1200000
Angola,AGO,1994,1500000
Angola,AGO,1995,1100000
Angola,AGO,1996,1000000
Angola,AGO,1997,1100000
Angola,AGO,1998,800000
Angola,AGO,1999,1200000
Angola,AGO,2000,1100000
Angola,AGO,2001,1200000
Angola,AGO,2002,1500000
Angola,AGO,2003,2800000
Angola,AGO,2004,3500000
Angola,AGO,2005,2500000
Angola,AGO,2006,3300000
Angola,AGO,2007,3900000
Angola,AGO,2008,5200000
Angola,AGO,2009,5800000
Angola,AGO,2010,6500000
Angola,AGO,2011,7200000
Angola,AGO,2012,7200000
Angola,AGO,2013,8199999.999999999
Angola,AGO,2014,8600000
Angola,AGO,2015,8600000
Angola,AGO,2016,8400000
Argentina,ARG,1990,28400000
Argentina,ARG,1991,30000000
Argentina,ARG,1992,32100000
Argentina,ARG,1993,35700000
Argentina,ARG,1994,37100000
Argentina,ARG,1995,38300000
Argentina,ARG,1996,39500000
Argentina,ARG,1997,40600000
Argentina,ARG,1998,42500000
Argentina,ARG,1999,41100000
Argentina,ARG,2000,40300000
Argentina,ARG,2001,36600000
Argentina,ARG,2002,34100000
Argentina,ARG,2003,35000000
Argentina,ARG,2004,37900000
Argentina,ARG,2005,39600000
Argentina,ARG,2006,41800000
Argentina,ARG,2007,42500000
Argentina,ARG,2008,45100000
Argentina,ARG,2009,40600000
Argentina,ARG,2010,43400000
Argentina,ARG,2011,49300000
Argentina,ARG,2012,48800000
Argentina,ARG,2013,45700000
Argentina,ARG,2014,44900000
Argentina,ARG,2015,46800000
Argentina,ARG,2016,46500000
Armenia,ARM,1990,3000000
Armenia,ARM,1991,2900000
Armenia,ARM,1992,1800000
Armenia,ARM,1993,1200000
Armenia,ARM,1994,200000
Armenia,ARM,1995,100000
Armenia,ARM,1996,100000
Armenia,ARM,1997,100000
Armenia,ARM,1998,100000
Armenia,ARM,1999,100000
Armenia,ARM,2000,600000
Armenia,ARM,2001,600000
Armenia,ARM,2002,500000
Armenia,ARM,2003,600000
Armenia,ARM,2004,600000
Armenia,ARM,2005,700000
Armenia,ARM,2006,700000
Armenia,ARM,2007,1100000
Armenia,ARM,2008,1300000
Armenia,ARM,2009,1100000
Armenia,ARM,2010,1300000
Armenia,ARM,2011,1300000
Armenia,ARM,2012,1300000
Armenia,ARM,2013,1300000
Armenia,ARM,2014,1500000
Armenia,ARM,2015,1500000
Armenia,ARM,2016,1600000
Australia,AUS,1990,62000000
Australia,AUS,1991,60600000
Australia,AUS,1992,62100000
Australia,AUS,1993,63200000
Australia,AUS,1994,64800000
Australia,AUS,1995,67500000
Australia,AUS,1996,70000000
Australia,AUS,1997,71400000
Australia,AUS,1998,71400000
Australia,AUS,1999,72800000
Australia,AUS,2000,75000000
Australia,AUS,2001,74400000
Australia,AUS,2002,76100000
Australia,AUS,2003,76400000
Australia,AUS,2004,79200000
Australia,AUS,2005,79300000
Australia,AUS,2006,81300000
Australia,AUS,2007,83600000
Australia,AUS,2008,85300000
Australia,AUS,2009,85000000
Australia,AUS,2010,87600000
Australia,AUS,2011,90300000
Australia,AUS,2012,90900000
Australia,AUS,2013,92300000
Australia,AUS,2014,92500000
Australia,AUS,2015,94700000
Australia,AUS,2016,96100000
Austria,AUT,1990,13600000
Austria,AUT,1991,15100000
Austria,AUT,1992,15100000
Austria,AUT,1993,15200000
Austria,AUT,1994,15300000
Austria,AUT,1995,15500000
Austria,AUT,1996,17100000
Austria,AUT,1997,16200000
Austria,AUT,1998,18300000
Austria,AUT,1999,17800000
Austria,AUT,2000,18600000
Austria,AUT,2001,20000000
